id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct;is_norm
1;Eric;Daugherty;Frederick_OConnell72@hotmail.com;local area network Benin;2019-11-04T18:05:04;36771;63633;false
2;Demarcus;Flatley;Watson.Wolff@yahoo.com;Investor users dot-com;2019-11-04T14:48:49;57690;66892;false
3;Salvatore;Dietrich;Misael57@gmail.com;calculate;2019-11-05T05:14:58;17711;99455;true
4;Janet;Wilkinson;Tavares_Tillman@gmail.com;Factors;2019-11-04T22:21:29;42818;55276;true
5;Kiana;Windler;Royce30@hotmail.com;fuchsia eco-centric;2019-11-04T18:38:57;16949;37268;true
6;Gloria;Weber;Maurice.Ward@hotmail.com;orchid;2019-11-04T14:11:19;99005;35864;false
7;Deonte;Larson;Serenity_Hammes69@gmail.com;Sudanese Pound;2019-11-04T21:40:05;55281;29359;false
8;Raina;Johnson;Deshaun_Streich@hotmail.com;Avon;2019-11-04T18:15:35;62789;79829;false
9;Mabel;Bernier;Gracie89@hotmail.com;value-added incubate Practical;2019-11-04T16:25:02;67202;3594;false
10;Jameson;Crist;Willie_Graham86@yahoo.com;Assimilated;2019-11-05T05:21:50;82260;30326;false
